title,album,artist,genre,country,released,duration,released-timestamp,duration-float
Östermalm,Stockholm,The Persuader,Electronic,Sweden,1999-03-00,4:45,920246400,4.45
Vasastaden,Stockholm,The Persuader,Electronic,Sweden,1999-03-00,6:11,920246400,6.11
Kungsholmen,Stockholm,The Persuader,Electronic,Sweden,1999-03-00,2:49,920246400,2.49
Södermalm,Stockholm,The Persuader,Electronic,Sweden,1999-03-00,5:38,920246400,5.38
Norrmalm,Stockholm,The Persuader,Electronic,Sweden,1999-03-00,4:52,920246400,4.52
Gamla Stan,Stockholm,The Persuader,Electronic,Sweden,1999-03-00,5:16,920246400,5.16
A Sea Apart,Knockin' Boots (Vol 2 Of 2),Mr. James Barth & A.D.,Electronic,Sweden,1998-06-00,5:08,896659200,5.08
Dutchmaster,Knockin' Boots (Vol 2 Of 2),Mr. James Barth & A.D.,Electronic,Sweden,1998-06-00,4:21,896659200,4.21
Inner City Lullaby,Knockin' Boots (Vol 2 Of 2),Mr. James Barth & A.D.,Electronic,Sweden,1998-06-00,4:22,896659200,4.22
Yeah Kid!,Knockin' Boots (Vol 2 Of 2),Mr. James Barth & A.D.,Electronic,Sweden,1998-06-00,4:46,896659200,4.46
